Fecha,Cluster,market_value,costo_operacion,transacciones,roi,ganancia,transacciones acumuladas,costo acumulado
2021-07-05,1,27000.0,27.0,10,0.0,0.0,10,27.0
2021-08-05,1,30217.4,23.27,8,11.92,3217.4,18,50.27
2021-09-05,1,46273.87,41.95,9,71.38,19273.87,27,92.22
2021-10-05,1,41579.69,32.83,8,54.0,14579.69,35,125.05
2021-11-05,1,52093.06,44.99,9,92.94,25093.06,44,170.04
2021-12-05,1,41859.88,35.77,9,55.04,14859.88,53,205.81
2022-01-05,1,38311.48,38.31,10,41.89,11311.48,63,244.12
2022-02-05,1,32717.85,25.19,8,21.18,5717.85,71,269.31
2022-03-05,1,32072.43,29.37,9,18.79,5072.43,80,298.68
2022-04-05,1,39917.97,39.92,10,47.84,12917.97,90,338.6
2022-05-05,1,30535.0,27.97,9,13.09,3535.0,99,366.57
2022-06-05,1,20859.97,20.86,10,-22.74,-6140.03,109,387.43
