,rank,roi
AXS,1,85.63158088521874
NEAR,2,50.952614723139504
FTM,3,45.778849572789696
PYR,4,41.48056632963914
MANA,5,40.37498021977588
SAND,6,37.37211608993117
BFC,7,37.315932221493824
LUNC,8,36.13565071215552
LUNA,8,37.041230775220626
ANY,9,35.48829820574027
ELON,10,32.71894629750629
AVAX,11,32.18473278096279
SOL,12,29.060895822648042
GALA,13,28.079087992102117
HNT,14,24.60166435605164
FLOW,15,23.69957976349775
KDA,16,22.40549710568868
DG,17,19.97464392875737
GHST,18,19.65555565594052
API3,19,19.171668116414025
ILV,20,19.106755335266925
GXC,21,17.565666445313493
SAFE,22,17.55419510858539
FXS,23,16.797859576919823
SUPER,24,16.677204455505358
TLOS,25,15.629984761147554
COMP,26,-6.844498057710682
TFUEL,27,-6.783362671731332
AMP,28,-6.522198646406016
DCR,29,-6.1392899524199045
AGLD,30,-5.0663572577950795
BSV,31,-5.016372028712336
MKR,32,-4.69851543694574
NEO,33,-4.309553230096558
MONA,34,-4.202613006910979
ALPACA,35,-4.101060917571103
BTS,36,-4.000946652579577
TVK,37,-3.8572021361739015
JASMY,38,-3.7582169874018634
BCH,39,-3.7319001395272844
EUM,40,-3.7241417349682924
PHA,41,-3.6652637644571127
BTT,42,0.1534569659017052
BTTOLD,42,-3.646075142982725
ZB,43,-3.641878733000132
TPT,44,-3.629542638592616
RARE,45,-3.5243976220509485
DATA,46,-3.516845501267767
MNGO,47,-3.505352480643009
ABBC,48,-3.4963244599427648
DPI,49,-3.474736059107483
BETA,50,-3.4346893552815083
