,name,rank,price,market_cap,amount,operacion,variacion,market_value,cluster,roi,roi_acumulado,fecha,rank_roi
0,ELON,451,7.479605e-08,36415731.00835504,385047071.3359863,compra,0.0,28.8,3,0.0,0.0,2021-07-05,10
1,ELON,472,8.485655e-08,41313856.80255882,293462513.15549374,venta,-91584558.18049257,24.90221642070481,3,-0.13533970761441627,-0.13533970761441627,2021-08-05,10
2,ELON,96,1.8724982143624e-06,1043970210.6463361,128843310.0022975,compra,128843310.0022975,241.25886791184323,3,7.377044024716778,7.241704317102362,2021-11-05,10
3,ELON,119,1.12094433905403e-06,619861120.8403413,167150524.974856,compra,38307214.97255848,187.3664347404741,3,5.505778984044239,12.747483301146602,2021-12-05,10
4,ELON,100,1.41031920116554e-06,783343340.1025598,128215965.8029873,venta,-38934559.17186868,180.82543846793726,3,5.278661057914488,18.02614435906109,2022-01-05,10
5,ELON,121,9.1745199500974e-07,508121827.6969602,142084106.43400747,compra,13868140.631020159,130.35534690705637,3,3.526227323161679,21.55237168222277,2022-02-05,10
6,ELON,123,7.6536281708314e-07,423255463.81856793,147277418.63933143,compra,5193312.205323964,112.72066002253166,3,2.9139118063379046,24.466283488560673,2022-03-05,10
7,ELON,117,9.9682344436754e-07,551288536.4264464,141877379.46622658,venta,-5400039.173104852,141.42669807736445,3,3.910649238797377,28.37693272735805,2022-04-05,10
8,ELON,110,8.7008094836037e-07,481560039.33016527,127754966.7671418,venta,-14122412.69908478,111.1571626425023,3,2.859623702864663,31.236556430222713,2022-05-05,10
9,ELON,118,4.4158163914374e-07,243448146.95067853,161901722.89861754,compra,34146756.13147573,71.49282817776711,3,1.48238986728358,32.71894629750629,2022-06-05,10
